t	v
0.185	-91.9623036
1.285	-91.96342353
2.385	-91.96453711
3.485	-91.96564436
4.585	-91.96674534
5.685	-91.96784007
6.785	-91.96892861
7.885	-91.97001098
8.985	-91.97108723
10.085	-91.97215739
11.185	-91.97322152
12.285	-91.97427963
13.385	-91.97533177
14.485	-91.97637799
15.585	-91.97741831
16.685	-91.97845277
17.785	-91.97948141
18.885	-91.98050427
19.985	-91.98152138
21.085	-91.98253277
22.185	-91.9835385
23.285	-91.98453858
24.385	-91.98553306
25.485	-91.98652197
26.585	-91.98750534
27.685	-91.98848322
28.785	-91.98945563
29.885	-91.9904226
30.985	-91.99138418
32.085	-91.9923404
33.185	-91.99329128
34.285	-91.99423687
35.385	-91.99517719
36.485	-91.99611228
37.585	-91.99704218
38.685	-91.9979669
39.785	-91.99888649
40.885	-91.99980098
41.985	-92.0007104
43.085	-92.00161477
44.185	-92.00251414
45.285	-92.00340853
46.385	-92.00429797
47.485	-92.0051825
48.585	-92.00606214
49.685	-92.00693692
50.785	-92.00780688
51.885	-92.00867205
52.985	-92.00953244
54.085	-92.0103881
55.185	-92.01123905
56.285	-92.01208532
57.385	-92.01292694
58.485	-92.01376394
59.585	-92.01459634
60.685	-92.01542418
61.785	-92.01624748
62.885	-92.01706627
63.985	-92.01788058
65.085	-92.01869044
66.185	-92.01949586
67.285	-92.02029689
68.385	-92.02109354
69.485	-92.02188585
70.585	-92.02267383
71.685	-92.02345752
72.785	-92.02423694
73.885	-92.02501212
74.985	-92.02578308
76.085	-92.02654986
77.185	-92.02731246
78.285	-92.02807093
79.385	-92.02882528
80.485	-92.02957554
81.585	-92.03032173
82.685	-92.03106389
83.785	-92.03180202
84.885	-92.03253617
85.985	-92.03326634
87.085	-92.03399257
88.09	-92.03465266
88.145	-92.03468868
88.2	-92.03472469
88.255	-92.03476069
88.31	-92.03479668
88.365	-92.03483266
88.42	-92.03486864
88.475	-92.0349046
88.53	-92.03494055
88.585	-92.0349765
88.64	-92.03501243
88.695	-92.03504835
88.75	-92.03508427
88.805	-92.03512017
88.86	-92.03515607
88.915	-92.03519196
88.97	-92.03522783
89.025	-92.0352637
89.08	-92.03529955
89.135	-92.0353354
89.19	-92.03537124
89.245	-92.03540707
89.3	-92.03544288
89.355	-92.03547869
89.41	-92.03551449
89.465	-92.03555028
89.52	-92.03558606
89.575	-92.03562183
89.63	-92.03565759
89.685	-92.03569334
89.74	-92.03572908
89.795	-92.03576481
89.85	-92.03580053
89.905	-92.03583625
89.96	-92.03587195
90.015	-90.43887714
90.07	-86.0817185
90.125	-81.76029454
90.18	-77.45794389
90.235	-73.16153074
90.29	-68.86180503
90.345	-64.55267446
90.4	-60.228505
90.455	-55.87555179
90.47	-54.67868223
90.475	-54.27827969
90.48	-53.87702439
90.485	-53.47482548
90.49	-53.07158233
90.495	-52.66718356
90.5	-52.66150609
90.505	-52.65458392
90.51	-52.64640256
90.515	-52.63695459
90.52	-52.62623882
90.525	-52.61425934
90.53	-52.60102481
90.535	-52.58654765
90.54	-52.57084335
90.545	-52.55392988
90.55	-52.53582708
90.555	-52.5165562
90.56	-52.49613942
90.565	-52.4745995
90.57	-52.45195941
90.575	-52.42824205
90.58	-52.40347
90.585	-52.37766532
90.59	-52.35084938
90.595	-52.32304269
90.6	-52.29426479
90.605	-52.26453419
90.61	-52.23386824
90.615	-52.20228311
90.62	-52.16979376
90.625	-52.13641387
90.63	-52.10215585
90.635	-52.06703082
90.64	-52.03104863
90.645	-51.99421781
90.65	-51.95654567
90.655	-51.91803821
90.66	-51.8787002
90.665	-51.83853519
90.67	-51.79754549
90.675	-51.75573225
90.68	-51.71309542
90.685	-51.66963379
90.69	-51.62534503
90.695	-51.58022568
90.7	-51.53427115
90.705	-51.48747578
90.71	-51.43983282
90.715	-51.39133444
90.72	-51.34197175
90.725	-51.29173479
90.73	-51.24061256
90.735	-51.188593
90.74	-51.13566299
90.745	-51.08180834
90.75	-51.02701382
90.755	-50.9712631
90.76	-50.91453877
90.765	-50.85682234
90.77	-50.79809417
90.775	-50.73833351
90.78	-50.67751845
90.785	-50.61562586
90.79	-50.55263146
90.795	-50.48850966
90.8	-50.42323363
90.805	-50.3567752
90.81	-50.28910487
90.815	-50.22019169
90.82	-50.15000329
90.825	-50.07850577
90.83	-50.00566367
90.835	-49.93143989
90.84	-49.85579566
90.845	-49.77869042
90.85	-49.70008176
90.855	-49.61992536
90.86	-49.53817487
90.865	-49.45478184
90.87	-49.36969561
90.875	-49.28286321
90.88	-49.19422921
90.885	-49.10373567
90.89	-49.01132192
90.895	-48.91692451
90.9	-48.82047698
90.905	-48.72190978
90.91	-48.62115002
90.915	-48.51812137
90.92	-48.41274379
90.925	-48.3049334
90.93	-48.19460219
90.935	-48.08165785
90.94	-47.96600346
90.945	-47.84753729
90.95	-47.72615243
90.955	-47.60173656
90.96	-47.47417159
90.965	-47.34333332
90.97	-47.20909106
90.975	-47.07130723
90.98	-46.92983694
90.985	-46.78452754
90.99	-46.63521812
90.995	-46.48173899
91	-46.32391113
91.005	-46.16154558
91.01	-45.99444282
91.015	-45.82239206
91.02	-45.64517055
91.025	-45.46254274
91.03	-45.27425953
91.035	-45.0800573
91.04	-44.87965703
91.045	-44.67276323
91.05	-44.45906292
91.055	-44.23822448
91.06	-44.00989641
91.065	-43.7737061
91.07	-43.52925847
91.075	-43.27613453
91.08	-43.01388996
91.085	-42.74205351
91.09	-42.46012547
91.095	-42.16757601
91.1	-41.86384354
91.105	-41.54833311
91.11	-41.22041472
91.115	-40.87942192
91.12	-40.52465032
91.125	-40.15535656
91.13	-39.77075743
91.135	-39.37002958
91.14	-38.95230991
91.145	-38.51669683
91.15	-38.0622529
91.155	-37.58800918
91.16	-37.0931591
