t	v
135.885	-91.21983977
136.985	-91.22759479
138.085	-91.23525492
139.185	-91.24282294
140.285	-91.25030143
141.385	-91.25769276
142.485	-91.26499915
143.585	-91.27222266
144.685	-91.27936526
145.785	-91.2864288
146.885	-91.29341505
147.985	-91.30032569
148.135	-91.30126225
148.19	-91.3016053
148.245	-91.30194815
148.3	-91.30229083
148.355	-91.30263331
148.41	-91.30297561
148.465	-91.30331773
148.52	-91.30365966
148.575	-91.30400141
148.63	-91.30434298
148.685	-91.30468436
148.74	-91.30502556
148.795	-91.30536657
148.85	-91.30570741
148.905	-91.30604806
148.96	-91.30638852
149.015	-91.30672881
149.07	-91.30706891
149.125	-91.30740883
149.18	-91.30774857
149.235	-91.30808812
149.29	-91.3084275
149.345	-91.30876669
149.4	-91.30910571
149.455	-91.30944454
149.51	-91.30978319
149.565	-91.31012166
149.62	-91.31045995
149.675	-91.31079806
149.73	-91.311136
149.785	-91.31147375
149.84	-91.31181132
149.895	-91.31214871
149.95	-91.31248593
150.005	-90.5133067
150.06	-86.14639424
150.115	-81.81652423
150.17	-77.5069289
150.225	-73.20438361
150.28	-68.89957587
150.335	-64.58638273
150.39	-60.25918697
150.445	-55.90437448
150.46	-54.70724595
150.465	-54.30678551
150.47	-53.90548767
150.475	-53.50326238
150.48	-53.10000985
150.485	-52.69561966
150.49	-52.28996978
150.495	-51.88292553
150.5	-51.87433848
150.505	-51.86421703
150.51	-51.85253938
150.515	-51.83929177
150.52	-51.82446748
150.525	-51.8080659
150.53	-51.7900916
150.535	-51.77055352
150.54	-51.74946417
150.545	-51.7268389
150.55	-51.7026953
150.555	-51.67705258
150.56	-51.64993106
150.565	-51.62135172
150.57	-51.59133578
150.575	-51.55990438
150.58	-51.52707826
150.585	-51.49287749
150.59	-51.45732127
150.595	-51.42042772
150.6	-51.38221374
150.605	-51.34269488
150.61	-51.30188524
150.615	-51.25979735
150.62	-51.21644214
150.625	-51.17182885
150.63	-51.12596503
150.635	-51.07885647
150.64	-51.03050719
150.645	-50.98091942
150.65	-50.9300936
150.655	-50.87802835
150.66	-50.82472047
150.665	-50.77016496
150.67	-50.71435498
150.675	-50.65728185
150.68	-50.59893509
150.685	-50.53930234
150.69	-50.47836943
150.695	-50.41612029
150.7	-50.35253702
150.705	-50.2875998
150.71	-50.22128691
150.715	-50.15357468
150.72	-50.0844375
150.725	-50.01384773
150.73	-49.94177573
150.735	-49.86818973
150.74	-49.79305588
150.745	-49.71633811
150.75	-49.6379981
150.755	-49.55799523
150.76	-49.47628648
150.765	-49.39282636
150.77	-49.30756682
150.775	-49.22045714
150.78	-49.13144384
150.785	-49.04047056
150.79	-48.94747794
150.795	-48.85240348
150.8	-48.75518139
150.805	-48.65574245
150.81	-48.55401384
150.815	-48.44991895
150.82	-48.34337718
150.825	-48.23430377
150.83	-48.12260954
150.835	-48.00820065
150.84	-47.89097839
150.845	-47.77083884
150.85	-47.64767264
150.855	-47.5213646
150.86	-47.39179346
150.865	-47.25883143
150.87	-47.12234387
150.875	-46.98218883
150.88	-46.83821664
150.885	-46.69026941
150.89	-46.53818052
150.895	-46.38177409
150.9	-46.22086437
150.905	-46.05525515
150.91	-45.88473903
150.915	-45.70909676
150.92	-45.52809644
150.925	-45.34149271
150.93	-45.14902587
150.935	-44.95042096
150.94	-44.74538673
150.945	-44.53361463
150.95	-44.31477762
150.955	-44.08852905
150.96	-43.85450132
150.965	-43.61230461
150.97	-43.36152542
150.975	-43.10172513
150.98	-42.83243847
150.985	-42.55317192
150.99	-42.26340205
150.995	-41.96257392
151	-41.65009938
151.005	-41.32535541
151.01	-40.98768261
151.015	-40.63638371
151.02	-40.27072234
151.025	-39.88992212
151.03	-39.49316614
151.035	-39.07959711
151.04	-38.64831832
151.045	-38.19839589
151.05	-37.72886251
151.055	-37.23893274
151.06	-36.72751768
151.065	-36.19348222
151.07	-35.63564692
151.075	-35.05279095
151.08	-34.44365631
151.085	-33.80695346
151.09	-33.14136871
151.095	-32.44557353
151.1	-31.7182361
151.105	-30.95803532
151.11	-30.16367755
151.115	-29.33391637
151.12	-28.46757549
151.125	-27.563575
151.13	-26.62096098
151.135	-25.63893846
151.14	-24.61690739
151.145	-23.55450114
151.15	-22.45162672
151.155	-21.30850566
151.16	-20.12571391
151.165	-18.90421902
151.17	-17.64541242
151.175	-16.35113431
151.18	-15.02368861
151.185	-13.66584578
151.19	-12.28083111
151.195	-10.8722974
151.2	-9.444281316
151.205	-8.001144091
151.21	-6.54749857
151.215	-5.088125437
151.22	-3.627882715
151.225	-2.171613011
151.23	-0.724053114
151.235	0.710249785
151.24	2.127011763
151.245	3.522273197
151.25	4.89244569
151.255	6.234344488
151.26	7.545206806
151.265	8.822697264
151.27	10.06490204
151.275	11.27031373
151.28	12.43780885
151.285	13.56662015
151.29	14.65630534
151.295	15.70671394
151.3	16.71795349
151.305	17.69035616
151.31	18.62444663
151.315	19.52091162
151.32	20.38057174
151.325	21.20435557
151.33	21.99327645
151.335	22.74841163
151.34	23.47088406
151.345	24.16184642
151.35	24.82246751
151.355	25.45392057
151.36	26.0573736
151.365	26.63398124
151.37	27.18487828
151.375	27.71117435
151.38	28.21394985
151.385	28.69425289
151.39	29.15309697
151.395	29.59145948
151.4	30.01028079
151.405	30.41046377
151.41	30.79287382
151.415	31.15833915
151.42	31.5076514
151.425	31.84156638
151.43	32.1608051
151.435	32.46605479
151.44	32.75797008
151.445	33.03717422
151.45	33.30426034
151.455	33.55979269
151.46	33.80430798
151.465	34.03831654
151.47	34.26230363
151.475	34.4767306
151.48	34.6820361
151.485	34.87863717
151.49	35.06693032
151.495	35.24729262
151.5	35.42008266
151.505	35.58564151
151.51	35.74429364
151.515	35.89634775
151.52	36.04209764
151.525	36.18182294
151.53	36.31578987
151.535	36.44425193
151.54	36.56745057
151.545	36.6856158
151.55	36.7989668
151.555	36.90771247
151.56	37.01205193
151.565	37.11217508
151.57	37.208263
151.575	37.30048846
151.58	37.38901627
151.585	37.47400375
151.59	37.55560106
151.595	37.63395156
151.6	37.70919215
151.605	37.7814536
151.61	37.85086083
151.615	37.91753319
151.62	37.98158475
151.625	38.04312454
151.63	38.10225679
151.635	38.15908116
151.64	38.21369296
151.645	38.26618334
151.65	38.3166395
151.655	38.36514488
151.66	38.41177929
151.665	38.45661912
151.67	38.49973751
151.675	38.54120443
151.68	38.58108689
151.685	38.61944904
151.69	38.6563523
151.695	38.69185551
151.7	38.726015
151.705	38.75888473
151.71	38.79051639
151.715	38.8209595
151.72	38.8502615
151.725	38.87846784
151.73	38.90562208
151.735	38.93176594
151.74	38.95693941
151.745	38.98118084
151.75	39.00452694
151.755	39.02701292
151.76	39.04867254
151.765	39.06953812
151.77	39.08964068
151.775	39.10900994
151.78	39.12767438
151.785	39.14566131
151.79	39.16299693
151.795	39.17970631
151.8	39.19581353
151.805	39.21134165
151.81	39.22631279
151.815	39.24074815
151.82	39.25466805
151.825	39.26809197
151.83	39.2810386
151.835	39.29352584
151.84	39.30557085
151.845	39.3171901
151.85	39.32839936
151.855	39.33921374
151.86	39.34964774
151.865	39.35971526
151.87	39.36942961
151.875	39.37880354
151.88	39.3878493
151.885	39.39657859
151.89	39.40500266
151.895	39.41313226
151.9	39.42097771
151.905	39.42854889
151.91	39.43585526
151.915	39.4429059
151.92	39.44970948
151.925	39.45627432
151.93	39.4626084
151.935	39.46871934
151.99	39.52309531
152.045	39.55866173
152.1	39.58010903
152.155	39.59022849
152.21	39.59061469
152.265	39.58211712
152.32	39.56513075
152.375	39.53978277
152.43	39.50605216
152.485	39.46384581
152.54	39.41304644
152.595	39.35354224
152.65	39.2852447
152.705	39.20809868
152.76	39.12208753
152.815	39.02723499
152.87	38.92360507
152.925	38.8113006
152.98	38.69046103
153.035	38.56125966
153.09	38.42390077
153.145	38.27861653
153.2	38.12566393
153.255	37.9653218
153.31	37.79788789
153.365	37.62367607
153.42	37.4430137
153.475	37.25623915
153.53	37.06369944
153.585	36.86574807
153.64	36.66274301
153.695	36.45504481
153.75	36.24301494
153.805	36.02701415
153.86	35.80740107
153.915	35.58453096
153.97	35.35875446
154.025	35.13041662
154.08	34.89985592
154.135	34.66740347
154.19	34.43338229
154.245	34.19810667
154.3	33.96188165
154.355	33.72500257
154.41	33.48775467
154.465	33.25041282
154.52	33.01324128
154.575	32.7764935
154.63	32.54041203
154.685	32.30522846
154.74	32.07116338
154.795	31.83842644
154.85	31.6072164
154.905	31.37772122
154.96	31.15011825
155.015	30.92457434
155.07	30.70124606
155.125	30.48027991
155.18	30.26181257
155.235	30.04597113
155.29	29.83287337
155.345	29.62262804
155.4	29.41533514
155.455	29.21108625
155.51	29.00996479
155.565	28.81204635
155.62	28.617399
155.675	28.42608362
155.73	28.23815416
155.785	28.05365802
155.84	27.87263629
155.895	27.69512409
155.95	27.52115086
156.005	27.35074065
156.06	27.18391241
156.115	27.02068026
156.17	26.86105377
156.225	26.70503821
156.28	26.55263483
156.335	26.40384107
156.39	26.25865083
156.445	26.11705467
156.5	25.97904004
156.555	25.8445915
156.61	25.71369092
156.665	25.58631763
156.72	25.46244865
156.775	25.34205885
156.83	25.2251211
156.885	25.11160645
156.94	25.00148423
156.995	24.89472227
157.05	24.79128693
157.105	24.69114331
157.16	24.59425534
157.215	24.50058584
157.27	24.41009672
157.325	24.32274899
157.38	24.23850289
157.435	24.15731795
157.49	24.07915313
157.545	24.00396682
157.6	23.93171694
157.655	23.86236101
157.71	23.79585621
157.765	23.73215944
157.82	23.67122734
157.875	23.61301638
157.93	23.55748288
157.985	23.50458308
158.04	23.45427314
158.095	23.40650921
158.15	23.36124744
158.205	23.31844404
158.26	23.27805528
158.315	23.24003754
158.37	23.20434732
158.425	23.1709413
158.48	23.13977629
158.535	23.11080934
158.59	23.08399769
158.645	23.05929883
158.7	23.0366705
158.755	23.0160707
158.81	22.99745772
158.865	22.98079016
158.92	22.96602693
158.975	22.95312725
159.03	22.94205068
159.085	22.93275716
159.14	22.92520694
159.195	22.91936068
159.25	22.9151794
159.305	22.9126245
159.36	22.9116578
159.415	22.91224148
159.47	22.91433817
159.525	22.91791089
159.58	22.9229231
159.635	22.92933867
159.69	22.9371219
159.745	22.94623755
159.8	22.9566508
159.855	22.96832728
159.91	22.98123307
159.965	22.9953347
160.02	23.01059916
160.075	23.02699388
160.13	23.04448678
160.185	23.06304621
160.24	23.08264101
160.295	23.10324046
160.35	23.12481432
160.405	23.14733282
160.46	23.17076665
160.515	23.19508696
160.57	23.22026537
160.625	23.24627399
160.68	23.27308536
160.735	23.30067252
160.79	23.32900895
160.845	23.3580686
160.9	23.38782588
160.955	23.41825568
161.01	23.44933332
161.065	23.48103459
161.12	23.51333574
161.175	23.54621346
161.23	23.57964488
161.285	23.61360761
161.34	23.64807966
161.395	23.68303952
161.45	23.71846608
161.505	23.75433868
161.56	23.79063709
161.615	23.8273415
161.67	23.86443253
161.725	23.90189118
161.78	23.93969892
161.835	23.97783757
161.89	24.01628939
161.945	24.05503703
162	24.09406353
162.055	24.13335231
162.11	24.17288718
162.165	24.21265234
162.22	24.25263234
162.275	24.29281212
162.33	24.33317698
162.385	24.37371256
162.44	24.41440486
162.495	24.45524024
162.55	24.4962054
162.605	24.53728735
162.66	24.57847346
162.715	24.61975141
162.77	24.6611092
162.825	24.70253516
162.88	24.74401791
162.95	24.79689447
163.06	24.8801144
163.17	24.96337886
163.28	25.04661031
163.39	25.12973551
163.5	25.2126854
163.61	25.29539488
163.72	25.37780267
163.83	25.45985118
163.94	25.54148631
164.05	25.62265734
164.16	25.70331675
164.27	25.7834201
164.38	25.86292589
164.49	25.94179539
164.6	26.01999257
164.71	26.09748392
164.82	26.17423836
164.93	26.25022708
165.04	26.32542349
165.15	26.39980305
165.26	26.4733432
165.37	26.54602324
165.48	26.61782424
165.59	26.68872895
165.7	26.75872169
165.81	26.8277883
165.92	26.89591602
166.03	26.96309343
166.14	27.02931038
166.25	27.0945579
166.36	27.15882814
166.47	27.22211431
166.58	27.28441062
166.69	27.34571221
166.8	27.40601509
166.91	27.4653161
167.02	27.52361286
167.13	27.5809037
167.24	27.63718763
